Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-14347.D708_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.39	513273.0	3303.0	1.46	1.65	4.25	49.07	0.01	0.61	49.0	225.0	0.0	506832.0	8177869.0	165309.0	0	0.0	12317755.0	24632	0.0	0.2	27.82	3426525.0	2913.0	523420	1.34
SLX-14347.D708_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	60.57	317841.0	1778.0	1.48	1.65	5.7	49.11	0.01	0.52	49.0	117.0	0.0	314192.0	5562707.0	123954.0	0	0.0	9184542.0	19272	0.0	0.21	32.18	2955508.0	1754.0	523101	1.35
SLX-14347.D708_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	60.46	328082.0	1769.0	1.5	1.66	5.76	49.13	0.01	0.52	49.0	121.0	0.0	324417.0	5716290.0	127931.0	0	0.0	9453925.0	19876	0.01	0.21	32.21	3044655.0	1775.0	545173	1.35
SLX-14347.D708_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	61.63	172951.0	1241.0	1.47	1.68	11.56	49.09	0.01	0.66	49.0	78.0	0.0	170283.0	3805176.0	44145.0	0	0.0	6173900.0	12965	0.01	0.21	25.88	1597943.0	1349.0	713671	0.72
SLX-14347.D708_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	61.42	176560.0	1188.0	1.47	1.69	11.72	49.11	0.01	0.65	49.0	72.0	0.0	173881.0	3900180.0	44302.0	0	0.0	6350426.0	13971	0.01	0.22	25.95	1647723.0	1419.0	744250	0.7
SLX-14347.D709_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.08	394073.0	2348.0	1.47	1.66	2.52	49.08	0.01	0.41	49.0	163.0	0.0	389415.0	5444720.0	157343.0	0	0.0	8366231.0	15101	0.0	0.18	30.33	2537657.0	2147.0	211410	1.88
SLX-14347.D709_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.08	404742.0	2427.0	1.47	1.67	2.51	49.1	0.01	0.41	49.0	174.0	0.0	400082.0	5598386.0	161160.0	0	0.0	8601904.0	15519	0.0	0.18	30.35	2610441.0	2059.0	216398	1.87
SLX-14347.D709_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.81	176981.0	1012.0	1.5	1.65	4.89	49.09	0.01	0.84	49.0	91.0	0.0	174964.0	4412880.0	90980.0	0	0.0	6705424.0	21468	0.0	0.32	27.62	1852046.0	914.0	328050	1.36
SLX-14347.D709_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.75	181734.0	1030.0	1.49	1.63	4.91	49.11	0.01	0.83	49.0	74.0	0.0	179676.0	4529620.0	94131.0	0	0.0	6889646.0	22065	0.0	0.32	27.65	1905278.0	954.0	338552	1.37
SLX-14347.D709_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	54.12	202814.0	1398.0	1.47	1.65	5.17	49.11	0.01	0.53	49.0	107.0	0.0	199742.0	4554701.0	47904.0	0	0.0	8416304.0	16845	0.01	0.2	39.94	3361403.0	1567.0	435451	0.57
