Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-avg_sequence_length	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_gc	STAR_mqc-generalstats-uniquely_mapped_percent	STAR_mqc-generalstats-uniquely_mapped	QualiMap_mqc-generalstats-reads_aligned	featureCounts_mqc-generalstats-Assigned	featureCounts_mqc-generalstats-percent_assigned	QualiMap_mqc-generalstats-5_3_bias
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10591423.0	3455126	18.2573380197	1.27
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1	33.3333333333	69.9216970658	11363927.0	49.5470633523	0.917453659002	49.0						
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.0	7386542.0				
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									10840383.0	3528815	18.1895139506	1.24
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1	41.6666666667	71.2172754677	11257142.0	49.559481172	0.897847837899	50.0						
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.5	7373936.0				
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10563228.0	3035721	16.4970868228	1.27
SLX-14347.D710_D505.HVFCGBBXX.s_4.r_1	41.6666666667	72.9127361703	11464319.0	49.5574474158	0.902003951862	50.0						
SLX-14347.D710_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.46	7504941.0				
SLX-14347.D710_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									10756040.0	3094309	16.5024356528	1.28
SLX-14347.D710_D506.HVFCGBBXX.s_3.r_1	33.3333333333	65.4036854558	12323989.0	49.5401260095	0.937213496567	48.0						
SLX-14347.D710_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							66.43	8186818.0				
SLX-14347.D710_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									11717603.0	3903007	19.0699267014	1.24
SLX-14347.D710_D506.HVFCGBBXX.s_4.r_1	33.3333333333	67.2344668989	12633689.0	49.539215268	0.939463254298	48.0						
SLX-14347.D710_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							66.38	8385974.0				
SLX-14347.D710_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									12011066.0	3991852	19.0194935119	1.48
SLX-14347.D711_D504.HVFCGBBXX.s_3.r_1	33.3333333333	67.5604455529	9388427.0	49.5476182538	0.91546364743	49.0						
SLX-14347.D711_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							63.52	5963304.0				
SLX-14347.D711_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									8977408.0	2775064	17.0408578766	1.38
SLX-14347.D711_D504.HVFCGBBXX.s_4.r_1	33.3333333333	69.4418577168	9665464.0	49.5468737973	0.917019805426	49.0						
SLX-14347.D711_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							63.49	6136147.0				
SLX-14347.D711_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									9239373.0	2859713	17.0579065486	1.38
SLX-14347.D711_D505.HVFCGBBXX.s_3.r_1	33.3333333333	74.2057700554	12058693.0	49.5664096432	0.88110225422	50.0						
SLX-14347.D711_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							64.89	7825436.0				
SLX-14347.D711_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									11396866.0	2992472	14.9706095544	1.54
SLX-14347.D711_D505.HVFCGBBXX.s_4.r_1	33.3333333333	76.0143773425	12411063.0	49.5655969195	0.88262516393	50.0						
SLX-14347.D711_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							64.88	8052143.0				
SLX-14347.D711_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									11731114.0	3077972	14.9465737679	1.43
SLX-14347.D711_D506.HVFCGBBXX.s_3.r_1	33.3333333333	65.0597425672	19251947.0	49.5370841193	0.93836353813	49.0						
SLX-14347.D711_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							69.82	13440797.0				
SLX-14347.D711_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									18339974.0	7606828	25.1323434307	1.01
SLX-14347.D711_D506.HVFCGBBXX.s_4.r_1	33.3333333333	67.2478118662	19880482.0	49.535763318	0.941623314946	49.0						
SLX-14347.D711_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							69.72	13860574.0				
SLX-14347.D711_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									18930421.0	7843310	25.0848158205	1.04
